id,name,rank,generation,type1,type2,total,hp,atk,def,spatk,spdef,speed,offense_index,defense_index,speed_to_power,era_total_z,bmi_like,bulk_index,offense_bias,role_tag,generation_num
1,bulbasaur,ordinary,generation-i,grass,poison,318,45,49,49,65,65,45,57.0,57.0,0.14150943396226415,-0.8975438702207367,14.081632653061227,378.5828839237189,0.0,balanced,1
2,ivysaur,ordinary,generation-i,grass,poison,405,60,62,63,80,80,60,71.0,71.5,0.14814814814814814,-0.02645685610358121,13.0,549.9090833947008,-0.0035087719298245615,balanced,1
3,venusaur,ordinary,generation-i,grass,poison,525,80,82,83,100,100,80,91.0,91.5,0.1523809523809524,1.175042473713185,25.0,814.8619514985345,-0.0027397260273972603,balanced,1
4,charmander,ordinary,generation-i,fire,,309,39,52,43,60,50,65,56.0,46.5,0.21035598705501618,-0.9876563199569941,23.61111111111111,289.56864471140517,0.09268292682926829,balanced,1
5,charmeleon,ordinary,generation-i,fire,,405,58,64,58,80,65,80,72.0,61.5,0.19753086419753085,-0.02645685610358121,15.702479338842974,467.6109494013159,0.07865168539325842,balanced,1
6,charizard,ordinary,generation-i,fire,flying,534,78,84,78,109,85,100,96.5,81.5,0.18726591760299627,1.2651549234494424,31.314878892733567,719.1244676688452,0.08426966292134831,balanced,1
7,squirtle,ordinary,generation-i,water,,314,44,48,65,50,64,43,49.0,64.5,0.13694267515923567,-0.9375938478812955,36.0,427.83174262787,-0.13656387665198239,balanced,1
8,wartortle,ordinary,generation-i,water,,405,59,63,80,65,80,58,64.0,80.0,0.14320987654320988,-0.02645685610358121,22.5,614.4916598294886,-0.1111111111111111,balanced,1
9,blastoise,ordinary,generation-i,water,,530,79,83,100,85,105,78,84.0,102.5,0.1471698113207547,1.2251049457888836,33.39843749999999,910.768905925098,-0.09919571045576407,wall,1
10,caterpie,ordinary,generation-i,bug,,195,45,30,35,20,20,45,25.0,27.5,0.23076923076923078,-2.129080683282922,32.22222222222222,177.48239349298848,-0.047619047619047616,balanced,1
11,metapod,ordinary,generation-i,bug,,205,50,20,55,25,25,30,22.5,40.0,0.14634146341463414,-2.0289557391315247,20.204081632653065,262.2022120425379,-0.28,balanced,1
12,butterfree,ordinary,generation-i,bug,flying,395,60,45,50,90,80,70,67.5,65.0,0.17721518987341772,-0.1265818002549784,26.446280991735534,489.89794855663564,0.018867924528301886,balanced,1
13,weedle,ordinary,generation-i,bug,poison,195,40,35,30,20,20,50,27.5,25.0,0.2564102564102564,-2.129080683282922,35.55555555555556,154.91933384829667,0.047619047619047616,balanced,1
14,kakuna,ordinary,generation-i,bug,poison,205,45,25,50,25,25,35,25.0,37.5,0.17073170731707318,-2.0289557391315247,27.77777777777778,237.17082451262846,-0.2,balanced,1
15,beedrill,ordinary,generation-i,bug,poison,395,65,90,40,45,80,75,67.5,60.0,0.189873417721519,-0.1265818002549784,29.5,456.0701700396552,0.058823529411764705,balanced,1
16,pidgey,ordinary,generation-i,normal,flying,251,40,45,40,35,35,56,40.0,37.5,0.22310756972111553,-1.5683809960350978,20.0,236.64319132398464,0.03225806451612903,balanced,1
17,pidgeotto,ordinary,generation-i,normal,flying,349,63,60,55,50,50,71,55.0,52.5,0.2034383954154728,-0.5871565433514054,24.793388429752063,416.2331077653482,0.023255813953488372,balanced,1
18,pidgeot,ordinary,generation-i,normal,flying,479,83,80,75,70,70,101,75.0,72.5,0.21085594989561587,0.714467730616758,17.555555555555557,660.1136265825755,0.01694915254237288,balanced,1
19,rattata,ordinary,generation-i,normal,,253,30,56,35,25,35,72,40.5,35.0,0.2845849802371542,-1.5483560072048184,38.88888888888889,191.70289512680813,0.0728476821192053,balanced,1
20,raticate,ordinary,generation-i,normal,,413,55,81,60,50,70,97,65.5,65.0,0.23486682808716708,0.05364309921753654,37.75510204081633,480.6245936279166,0.0038314176245210726,balanced,1
21,spearow,ordinary,generation-i,normal,flying,262,40,60,30,31,31,70,45.5,30.5,0.26717557251908397,-1.4582435574685608,22.22222222222222,192.8730152198591,0.19736842105263158,balanced,1
22,fearow,ordinary,generation-i,normal,flying,442,65,90,65,61,61,100,75.5,63.0,0.22624434389140272,0.3440054372565884,26.38888888888889,507.66622893393253,0.09025270758122744,balanced,1
23,ekans,ordinary,generation-i,poison,,288,35,60,44,40,54,55,50.0,49.0,0.1909722222222222,-1.1979187026749283,1.725,288.37475617675,0.010101010101010102,balanced,1
24,arbok,ordinary,generation-i,poison,,448,60,95,69,65,79,80,80.0,74.0,0.17857142857142858,0.40408040374742665,5.3061224489795915,571.8915981197836,0.03896103896103896,balanced,1
25,pikachu,ordinary,generation-i,electric,,320,35,55,40,50,50,90,52.5,45.0,0.28125,-0.8775188813904573,37.49999999999999,264.5751311064591,0.07692307692307693,balanced,1
26,raichu,ordinary,generation-i,electric,,485,60,90,55,90,80,110,90.0,67.5,0.2268041237113402,0.7745426971075963,46.87499999999999,513.8093031466052,0.14285714285714285,balanced,1
27,sandshrew,ordinary,generation-i,ground,,300,50,75,85,20,30,40,47.5,57.5,0.13333333333333333,-1.0777687696932516,33.333333333333336,357.0714214271425,-0.09523809523809523,balanced,1
28,sandslash,ordinary,generation-i,ground,,450,75,100,110,45,55,65,72.5,82.5,0.14444444444444443,0.42410539257770613,29.5,673.609679265374,-0.06451612903225806,balanced,1
29,nidoran-f,ordinary,generation-i,poison,,275,55,47,52,40,40,41,43.5,46.0,0.14909090909090908,-1.3280811300717446,43.74999999999999,338.23069050575526,-0.027932960893854747,balanced,1
30,nidorina,ordinary,generation-i,poison,,365,70,62,67,55,55,56,58.5,61.0,0.15342465753424658,-0.42695663270916995,31.249999999999993,507.88778288121875,-0.02092050209205021,balanced,1
31,nidoqueen,ordinary,generation-i,poison,ground,505,90,92,87,75,85,76,83.5,86.0,0.1504950495049505,0.9747925854103906,35.50295857988165,815.8124784532289,-0.014749262536873156,balanced,1
32,nidoran-m,ordinary,generation-i,poison,,273,46,57,40,40,40,50,48.5,40.0,0.18315018315018314,-1.348106118902024,36.0,271.29319932501073,0.096045197740113,balanced,1
33,nidorino,ordinary,generation-i,poison,,365,61,72,57,55,55,65,63.5,56.0,0.1780821917808219,-0.42695663270916995,24.074074074074073,437.30424191859834,0.06276150627615062,balanced,1
34,nidoking,ordinary,generation-i,poison,ground,505,81,102,77,85,75,85,93.5,76.0,0.16831683168316833,0.9747925854103906,31.632653061224495,683.9407869106799,0.10324483775811209,balanced,1
35,clefairy,ordinary,generation-i,fairy,,323,70,45,48,60,65,35,52.5,56.5,0.10835913312693499,-0.8474813981450381,20.833333333333336,467.3328578219169,-0.03669724770642202,balanced,1
36,clefable,ordinary,generation-i,fairy,,483,95,70,73,95,90,60,82.5,81.5,0.12422360248447205,0.7545177082773168,23.668639053254434,790.0316449358215,0.006097560975609756,balanced,1
37,vulpix,ordinary,generation-i,fire,,299,38,41,40,50,65,65,45.5,52.5,0.21739130434782608,-1.0877812641083913,27.500000000000004,314.3246729100342,-0.07142857142857142,balanced,1
38,ninetales,ordinary,generation-i,fire,,505,73,76,75,81,100,100,78.5,87.5,0.19801980198019803,0.9747925854103906,16.446280991735534,739.932429347437,-0.05421686746987952,balanced,1
39,jigglypuff,ordinary,generation-i,normal,fairy,270,115,45,20,45,25,20,45.0,22.5,0.07407407407407407,-1.3781436021474431,22.0,239.79157616563597,0.3333333333333333,balanced,1
40,wigglytuff,ordinary,generation-i,normal,fairy,435,140,70,45,85,50,45,77.5,47.5,0.10344827586206896,0.2739179763506103,12.0,561.2486080160912,0.24,balanced,1
41,zubat,ordinary,generation-i,poison,flying,245,40,45,35,30,40,55,37.5,37.5,0.22448979591836735,-1.628455962525936,11.718749999999998,236.64319132398464,0.0,balanced,1
42,golbat,ordinary,generation-i,poison,flying,455,75,80,70,65,75,90,72.5,72.5,0.1978021978021978,0.4741678646534047,21.484374999999996,627.4950199005567,0.0,balanced,1
43,oddish,ordinary,generation-i,grass,poison,320,45,50,55,75,65,30,62.5,60.0,0.09375,-0.8775188813904573,21.6,401.09225871362815,0.02040816326530612,balanced,1
44,gloom,ordinary,generation-i,grass,poison,395,60,65,70,85,75,40,75.0,72.5,0.10126582278481013,-0.1265818002549784,13.437499999999996,561.2486080160912,0.01694915254237288,balanced,1
45,vileplume,ordinary,generation-i,grass,poison,490,75,80,85,110,90,50,95.0,87.5,0.10204081632653061,0.8246051691832949,12.916666666666668,757.4628703771558,0.0410958904109589,balanced,1
46,paras,ordinary,generation-i,bug,grass,285,35,70,55,45,55,25,57.5,55.0,0.08771929824561403,-1.2279561859203474,60.00000000000001,325.3843880704789,0.022222222222222223,balanced,1
47,parasect,ordinary,generation-i,bug,grass,405,60,95,80,60,80,30,77.5,80.0,0.07407407407407407,-0.02645685610358121,29.5,619.6773353931867,-0.015873015873015872,balanced,1
48,venonat,ordinary,generation-i,bug,poison,305,60,55,50,40,55,45,47.5,52.5,0.14754098360655737,-1.027706297617553,30.0,406.201920231798,-0.05,balanced,1
49,venomoth,ordinary,generation-i,bug,poison,450,70,65,60,90,75,90,77.5,67.5,0.2,0.42410539257770613,5.555555555555555,561.2486080160912,0.06896551724137931,balanced,1
50,diglett,ordinary,generation-i,ground,,265,10,55,25,35,45,95,45.0,35.0,0.3584905660377358,-1.4282060742231417,19.999999999999996,106.06601717798213,0.125,balanced,1
51,dugtrio,ordinary,generation-i,ground,,425,35,100,50,50,70,120,75.0,60.0,0.2823529411764706,0.17379303219921316,67.9591836734694,350.0,0.1111111111111111,balanced,1
52,meowth,ordinary,generation-i,normal,,290,40,45,35,40,40,90,42.5,37.5,0.3103448275862069,-1.1778937138446488,26.249999999999996,236.64319132398464,0.0625,balanced,1
53,persian,ordinary,generation-i,normal,,440,65,70,60,65,65,115,67.5,62.5,0.26136363636363635,0.3239804484263089,32.0,503.4878350069642,0.038461538461538464,balanced,1
54,psyduck,ordinary,generation-i,water,,320,50,52,48,65,50,55,58.5,49.0,0.171875,-0.8775188813904573,30.624999999999996,346.41016151377545,0.08837209302325581,balanced,1
55,golduck,ordinary,generation-i,water,,500,80,82,78,95,80,85,88.5,79.0,0.17,0.924730113334692,26.505190311418687,706.5408693062277,0.056716417910447764,balanced,1
56,mankey,ordinary,generation-i,fighting,,305,40,80,35,35,45,70,57.5,40.0,0.22950819672131148,-1.027706297617553,112.0,250.99800796022265,0.1794871794871795,balanced,1
57,primeape,ordinary,generation-i,fighting,,455,65,105,60,60,70,95,82.5,65.0,0.2087912087912088,0.4741678646534047,32.0,522.4940191045253,0.11864406779661017,balanced,1
58,growlithe,ordinary,generation-i,fire,,350,55,70,45,70,50,60,70.0,47.5,0.17142857142857143,-0.5771440489362657,38.77551020408164,351.7811819867572,0.19148936170212766,balanced,1
59,arcanine,ordinary,generation-i,fire,,555,90,110,80,100,80,95,105.0,80.0,0.17117117117117117,1.4754173061673765,42.93628808864266,758.946638440411,0.13513513513513514,balanced,1
60,poliwag,ordinary,generation-i,water,,300,40,50,40,40,40,90,45.0,40.0,0.3,-1.0777687696932516,34.44444444444445,252.98221281347034,0.058823529411764705,balanced,1
61,poliwhirl,ordinary,generation-i,water,,385,65,65,65,50,50,90,57.5,57.5,0.23376623376623376,-0.22670674440637556,20.0,459.6194077712559,0.0,balanced,1
62,poliwrath,ordinary,generation-i,water,fighting,510,90,95,95,70,90,70,82.5,92.5,0.13725490196078433,1.0248550574860893,31.95266272189349,877.2114910328067,-0.05714285714285714,wall,1
63,abra,ordinary,generation-i,psychic,,310,25,20,15,105,55,90,62.5,35.0,0.2903225806451613,-0.9776438255418545,24.074074074074073,143.61406616345073,0.28205128205128205,balanced,1
64,kadabra,ordinary,generation-i,psychic,,400,40,35,30,120,70,105,77.5,50.0,0.2625,-0.0765193281792798,33.43195266272189,289.8275349237888,0.21568627450980393,balanced,1
